framenum,queue density
1,0.260933
2,0.260933
3,0.260933
4,0.260933
5,0.260933
6,0.260933
7,0.260933
8,0.260933
9,0.260933
10,0.260933
11,0.269457
12,0.269457
13,0.269457
14,0.269457
15,0.269457
16,0.269457
17,0.269457
18,0.269457
19,0.269457
20,0.269457
21,0.319926
22,0.319926
23,0.319926
24,0.319926
25,0.319926
26,0.319926
27,0.319926
28,0.319926
29,0.319926
30,0.319926
31,0.322238
32,0.322238
33,0.322238
34,0.322238
35,0.322238
36,0.322238
37,0.322238
38,0.322238
39,0.322238
40,0.322238
41,0.326051
42,0.326051
43,0.326051
44,0.326051
45,0.326051
46,0.326051
47,0.326051
48,0.326051
49,0.326051
50,0.326051
51,0.304721
52,0.304721
53,0.304721
54,0.304721
55,0.304721
56,0.304721
57,0.304721
58,0.304721
59,0.304721
60,0.304721
61,0.299427
62,0.299427
63,0.299427
64,0.299427
65,0.299427
66,0.299427
67,0.299427
68,0.299427
69,0.299427
70,0.299427
71,0.291496
72,0.291496
73,0.291496
74,0.291496
75,0.291496
76,0.291496
77,0.291496
78,0.291496
79,0.291496
80,0.291496
81,0.298882
82,0.298882
83,0.298882
84,0.298882
85,0.298882
86,0.298882
87,0.298882
88,0.298882
89,0.298882
90,0.298882
91,0.344955
92,0.344955
93,0.344955
94,0.344955
95,0.344955
96,0.344955
97,0.344955
98,0.344955
99,0.344955
100,0.344955
101,0.400656
102,0.400656
103,0.400656
104,0.400656
105,0.400656
106,0.400656
107,0.400656
108,0.400656
109,0.400656
110,0.400656
111,0.406738
112,0.406738
113,0.406738
114,0.406738
115,0.406738
116,0.406738
117,0.406738
118,0.406738
119,0.406738
120,0.406738
121,0.386611
122,0.386611
123,0.386611
124,0.386611
125,0.386611
126,0.386611
127,0.386611
128,0.386611
129,0.386611
130,0.386611
131,0.422574
132,0.422574
133,0.422574
134,0.422574
135,0.422574
136,0.422574
137,0.422574
138,0.422574
139,0.422574
140,0.422574
141,0.433287
142,0.433287
143,0.433287
144,0.433287
145,0.433287
146,0.433287
147,0.433287
148,0.433287
149,0.433287
150,0.433287
151,0.414305
152,0.414305
153,0.414305
154,0.414305
155,0.414305
156,0.414305
157,0.414305
158,0.414305
159,0.414305
160,0.414305
161,0.388531
162,0.388531
163,0.388531
164,0.388531
165,0.388531
