framenum,queue density
1,0.254395
2,0.25
3,0.246582
4,0.24375
5,0.239111
6,0.239258
7,0.237842
8,0.244824
9,0.244287
10,0.251074
11,0.261914
12,0.264844
13,0.274219
14,0.283594
15,0.287061
16,0.293018
17,0.301563
18,0.302832
19,0.30918
20,0.309814
21,0.311084
22,0.31582
23,0.320361
24,0.322852
25,0.323828
26,0.321094
27,0.32041
28,0.315723
29,0.314893
30,0.315088
31,0.311914
32,0.312256
33,0.312793
34,0.312744
35,0.313965
36,0.314697
37,0.311328
38,0.318359
39,0.316699
40,0.316406
41,0.32085
42,0.319678
43,0.317188
44,0.316553
45,0.302148
46,0.302832
47,0.302881
48,0.298682
49,0.300049
50,0.297949
51,0.299121
52,0.296094
53,0.296777
54,0.294678
55,0.292529
56,0.292725
57,0.291455
58,0.29375
59,0.294678
60,0.292529
61,0.292187
62,0.29375
63,0.291553
64,0.292383
65,0.28999
66,0.288818
67,0.289258
68,0.289502
69,0.289941
70,0.284912
71,0.285156
72,0.286182
73,0.288086
74,0.289209
75,0.289844
76,0.291602
77,0.290186
78,0.290771
79,0.289551
80,0.290332
81,0.293457
82,0.295215
83,0.297803
84,0.299072
85,0.304199
86,0.309473
87,0.312549
88,0.320752
89,0.328418
90,0.330029
91,0.337598
92,0.343115
93,0.345801
94,0.353516
95,0.36709
96,0.369141
97,0.374951
98,0.379541
99,0.385303
100,0.389795
101,0.395898
102,0.399414
103,0.403174
104,0.406299
105,0.406152
106,0.403857
107,0.404639
108,0.40459
109,0.402832
110,0.401611
111,0.403564
112,0.399658
113,0.398926
114,0.398389
115,0.395068
116,0.393896
117,0.391211
118,0.387939
119,0.386816
120,0.37793
121,0.380957
122,0.387354
123,0.389209
124,0.395215
125,0.401318
126,0.403418
127,0.407227
128,0.411572
129,0.413037
130,0.414404
131,0.417578
132,0.420508
133,0.420361
134,0.423682
135,0.424072
136,0.429639
137,0.428906
138,0.428906
139,0.432812
140,0.426416
141,0.428076
142,0.428174
143,0.428027
144,0.425049
145,0.414111
146,0.416553
147,0.416943
148,0.417432
149,0.415576
150,0.415088
151,0.411133
152,0.408252
153,0.406396
154,0.403076
155,0.396484
156,0.394189
157,0.39209
158,0.389209
159,0.388477
160,0.384473
161,0.382373
162,0.382031
163,0.379834
164,0.37793
165,0.377148
166,0.374316
167,0.373193
168,0.373291
169,0.372803
170,0.364453
171,0.364551
172,0.364795
173,0.36416
174,0.362061
175,0.361865
176,0.359961
177,0.359277
178,0.361914
179,0.35957
180,0.359229
181,0.358545
182,0.357617
183,0.355957
184,0.356055
185,0.355859
186,0.354443
187,0.354004
188,0.351611
189,0.352002
190,0.353271
191,0.352148
192,0.352637
193,0.350488
194,0.349316
195,0.34834
196,0.347803
197,0.34873
198,0.34834
199,0.348486
200,0.348291
201,0.348145
202,0.349072
203,0.348877
204,0.34873
205,0.347998
206,0.347217
207,0.34624
208,0.345508
209,0.346045
210,0.346338
211,0.345898
212,0.346191
213,0.345996
214,0.345508
215,0.345801
216,0.346387
217,0.345752
218,0.34624
219,0.346436
220,0.345215
221,0.345654
222,0.345996
223,0.345361
224,0.345459
225,0.345801
226,0.345508
227,0.346289
228,0.345703
229,0.345898
230,0.345703
231,0.345654
232,0.345264
233,0.345557
234,0.345801
235,0.345654
236,0.346143
237,0.345947
238,0.345605
239,0.344775
240,0.344971
241,0.344482
242,0.345459
243,0.344824
244,0.344727
245,0.343262
246,0.344971
247,0.344336
248,0.344434
249,0.345752
250,0.345996
251,0.346729
252,0.346387
253,0.346387
254,0.346094
255,0.345752
256,0.346436
257,0.34707
258,0.346777
259,0.34624
260,0.346973
261,0.346436
262,0.346533
263,0.346338
264,0.345752
265,0.346191
266,0.345752
267,0.345068
268,0.34458
269,0.343994
270,0.338818
271,0.337891
272,0.338574
273,0.338477
274,0.337646
275,0.337891
276,0.337451
277,0.337061
278,0.336719
279,0.335938
280,0.335986
281,0.336768
282,0.337207
283,0.338916
284,0.339941
285,0.340234
286,0.340527
287,0.341064
288,0.341504
289,0.341895
290,0.341309
291,0.340234
292,0.340918
293,0.339697
294,0.339258
295,0.337207
296,0.337012
297,0.336377
298,0.335889
299,0.334131
300,0.33374
301,0.333105
302,0.333203
303,0.332666
304,0.331982
305,0.331836
306,0.331885
307,0.332031
308,0.33208
309,0.331543
310,0.33208
311,0.331934
312,0.332031
313,0.331787
314,0.33291
315,0.333691
316,0.333545
317,0.333447
318,0.333594
319,0.333008
320,0.335986
321,0.336963
322,0.336426
323,0.337646
324,0.338623
325,0.338623
326,0.338379
327,0.337744
328,0.337158
329,0.337598
330,0.337354
331,0.337598
332,0.337842
333,0.338037
334,0.338184
335,0.338135
336,0.337988
337,0.338623
338,0.338477
339,0.338232
340,0.338818
341,0.339404
342,0.339697
343,0.341357
344,0.343604
345,0.347266
346,0.348877
347,0.351709
348,0.352783
349,0.355371
350,0.357812
351,0.35918
352,0.361621
353,0.363135
354,0.365088
355,0.366699
356,0.370508
357,0.371289
358,0.372803
359,0.374365
360,0.375
361,0.375732
362,0.375684
363,0.37627
364,0.37627
365,0.375537
366,0.374365
367,0.374756
368,0.373828
369,0.372266
370,0.364355
371,0.364941
372,0.366406
373,0.365088
374,0.364014
375,0.364111
376,0.363525
377,0.362402
378,0.36123
379,0.360205
380,0.359229
381,0.358154
382,0.357959
383,0.357861
384,0.356348
385,0.356348
386,0.358154
