framenum,queue density
1,0.260933
9,0.252708
17,0.309404
25,0.330942
33,0.322124
41,0.326051
49,0.306026
57,0.299517
65,0.297766
73,0.294309
81,0.298882
89,0.335401
97,0.379926
105,0.410214
113,0.402137
121,0.386611
129,0.41572
137,0.433264
145,0.419874
153,0.410288
161,0.388531
169,0.377292
177,0.363949
185,0.360097
193,0.354458
201,0.349955
209,0.349297
217,0.349583
225,0.350398
233,0.34994
241,0.347702
249,0.348325
257,0.349846
265,0.34778
273,0.342643
281,0.341291
289,0.34664
297,0.338885
305,0.336056
313,0.336843
321,0.341052
329,0.341593
337,0.342666
345,0.350089
353,0.366802
361,0.377406
369,0.375043
377,0.366144
385,0.361284
393,0.377618
401,0.39149
409,0.406264
417,0.427049
425,0.453927
433,0.489972
441,0.521663
449,0.547918
457,0.560991
465,0.576937
473,0.597416
481,0.602342
489,0.602381
497,0.603796
505,0.602781
513,0.600719
521,0.646502
529,0.682782
537,0.691199
545,0.70979
553,0.70591
561,0.700079
569,0.701259
577,0.694256
585,0.691826
593,0.696854
601,0.736206
609,0.750396
617,0.764699
625,0.783431
633,0.796155
641,0.805329
649,0.817351
657,0.824515
665,0.821936
673,0.819366
681,0.817877
689,0.812441
697,0.813127
705,0.816681
713,0.826533
721,0.837795
729,0.838807
737,0.838889
745,0.8399
753,0.839982
761,0.841052
769,0.84229
777,0.846511
785,0.845331
793,0.844908
801,0.841808
809,0.840797
817,0.843678
825,0.846378
833,0.848541
841,0.849277
849,0.85099
857,0.850892
865,0.850089
873,0.848791
881,0.84916
889,0.850265
897,0.850759
905,0.851809
913,0.852314
921,0.85146
929,0.851746
937,0.850045
945,0.848748
953,0.848878
961,0.850006
969,0.850527
977,0.848737
985,0.848368
993,0.848893
1001,0.849426
1009,0.849591
1017,0.847244
1025,0.846879
1033,0.846773
1041,0.847855
1049,0.847694
1057,0.847871
1065,0.846812
1073,0.847381
1081,0.847506
1089,0.846213
1097,0.84664
1105,0.846189
1113,0.846479
1121,0.847224
1129,0.845606
1137,0.845751
1145,0.845351
1153,0.847055
1161,0.845316
1169,0.845562
1177,0.847773
1185,0.847314
1193,0.846867
1201,0.846577
1209,0.84657
1217,0.847961
1225,0.847592
1233,0.847197
1241,0.844896
1249,0.84588
1257,0.846268
1265,0.845903
1273,0.846041
1281,0.84724
1289,0.845684
1297,0.845045
1305,0.846867
1313,0.84624
1321,0.846064
1329,0.846511
1337,0.846852
1345,0.847032
1353,0.846456
1361,0.846276
1369,0.84461
1377,0.845731
1385,0.846762
1393,0.847357
1401,0.84914
1409,0.850155
1417,0.850445
1425,0.85186
1433,0.850915
1441,0.853525
1449,0.856672
1457,0.856304
1465,0.857867
1473,0.860873
1481,0.863001
1489,0.868707
1497,0.880537
1505,0.867594
1513,0.871599
1521,0.874847
1529,0.879032
1537,0.878006
1545,0.873918
1553,0.878092
1561,0.882516
1569,0.876211
1577,0.877935
1585,0.884276
1593,0.878413
1601,0.857562
1609,0.858851
1617,0.867786
1625,0.867621
1633,0.863177
1641,0.868444
1649,0.863201
1657,0.852169
1665,0.854427
1673,0.863209
1681,0.850061
1689,0.837709
1697,0.836071
1705,0.832787
1713,0.846091
1721,0.835421
1729,0.855986
1737,0.8013
1745,0.761737
1753,0.668181
1761,0.620133
1769,0.617974
1777,0.689287
1785,0.684984
1793,0.661354
1801,0.624075
1809,0.632587
1817,0.619588
1825,0.578539
1833,0.540508
1841,0.526691
1849,0.541108
1857,0.510165
1865,0.479646
1873,0.459014
1881,0.502743
1889,0.502528
1897,0.539046
1905,0.581698
1913,0.696948
1921,0.7533
1929,0.672946
1937,0.470543
1945,0.420007
1953,0.363538
1961,0.335123
1969,0.303514
1977,0.229395
1985,0.199139
1993,0.174909
2001,0.167205
2009,0.236159
2017,0.403779
2025,0.544752
2033,0.682602
2041,0.697183
2049,0.476613
2057,0.36808
2065,0.278971
2073,0.273497
2081,0.209198
2089,0.168859
2097,0.16927
2105,0.19203
2113,0.292322
2121,0.542483
2129,0.796613
2137,0.891612
2145,0.885961
2153,0.855927
2161,0.647243
2169,0.646059
2177,0.571431
2185,0.363256
2193,0.267438
2201,0.216624
2209,0.19105
2217,0.165387
2225,0.162573
2233,0.162941
2241,0.165155
2249,0.165951
2257,0.166801
2265,0.169634
2273,0.210425
2281,0.280453
2289,0.303291
2297,0.279528
2305,0.288078
2313,0.276083
2321,0.268508
2329,0.238044
2337,0.191137
2345,0.179208
2353,0.188429
2361,0.197171
2369,0.176896
2377,0.166445
2385,0.174713
2393,0.298087
2401,0.436783
2409,0.431242
2417,0.297824
2425,0.20294
2433,0.16012
2441,0.225598
2449,0.226527
2457,0.187578
2465,0.190874
2473,0.173428
2481,0.176641
2489,0.185521
2497,0.174043
2505,0.169274
2513,0.196819
2521,0.285461
2529,0.356841
2537,0.329813
2545,0.275284
2553,0.235653
2561,0.194605
2569,0.153717
2577,0.144555
2585,0.144586
2593,0.144284
2601,0.144135
2609,0.144539
2617,0.143206
2625,0.145099
2633,0.206929
2641,0.240764
2649,0.360124
2657,0.486527
