framenum,queue density
1,0.260933
2,0.260933
3,0.253343
4,0.253343
5,0.246085
6,0.246085
7,0.246356
8,0.246356
9,0.252708
10,0.252708
11,0.269457
12,0.269457
13,0.283842
14,0.283842
15,0.29579
16,0.29579
17,0.309404
18,0.309404
19,0.317391
20,0.317391
21,0.319926
22,0.319926
23,0.328986
24,0.328986
25,0.330942
26,0.330942
27,0.329386
28,0.329386
29,0.325028
30,0.325028
31,0.322238
32,0.322238
33,0.322124
34,0.322124
35,0.322994
36,0.322994
37,0.322301
38,0.322301
39,0.32564
40,0.32564
41,0.326051
42,0.326051
43,0.323273
44,0.323273
45,0.310047
46,0.310047
47,0.308483
48,0.308483
49,0.306026
50,0.306026
51,0.304721
52,0.304721
53,0.302096
54,0.302096
55,0.299972
56,0.299972
57,0.299517
58,0.299517
59,0.299713
60,0.299713
61,0.299427
62,0.299427
63,0.298561
64,0.298561
65,0.297766
66,0.297766
67,0.296845
68,0.296845
69,0.296206
70,0.296206
71,0.291496
72,0.291496
73,0.294309
74,0.294309
75,0.296453
76,0.296453
77,0.297793
78,0.297793
79,0.296073
80,0.296073
81,0.298882
82,0.298882
83,0.30351
84,0.30351
85,0.30978
86,0.30978
87,0.31886
88,0.31886
89,0.335401
90,0.335401
91,0.344955
92,0.344955
93,0.353502
94,0.353502
95,0.370345
96,0.370345
97,0.379926
98,0.379926
99,0.390773
100,0.390773
101,0.400656
102,0.400656
103,0.407894
104,0.407894
105,0.410214
106,0.410214
107,0.409262
108,0.409262
109,0.40769
110,0.40769
111,0.406738
112,0.406738
113,0.402137
114,0.402137
115,0.398846
116,0.398846
117,0.395087
118,0.395087
119,0.392219
120,0.392219
121,0.386611
122,0.386611
123,0.393473
124,0.393473
125,0.403595
126,0.403595
127,0.410574
128,0.410574
129,0.41572
130,0.41572
131,0.422574
132,0.422574
133,0.426461
134,0.426461
135,0.429102
136,0.429102
137,0.433264
138,0.433264
139,0.433989
140,0.433989
141,0.433287
142,0.433287
143,0.431163
144,0.431163
145,0.419874
146,0.419874
147,0.421065
148,0.421065
149,0.418859
150,0.418859
151,0.414305
152,0.414305
153,0.410288
154,0.410288
155,0.403599
156,0.403599
157,0.397603
158,0.397603
159,0.392748
160,0.392748
161,0.388531
162,0.388531
163,0.385624
164,0.385624
165,0.381791
