framenum,queue density
1,0.259097
2,0.254141
3,0.251597
4,0.248212
5,0.245347
6,0.244497
7,0.244583
8,0.249983
9,0.251727
10,0.258741
11,0.267882
12,0.272405
13,0.283273
14,0.292161
15,0.294167
16,0.301241
17,0.308186
18,0.310512
19,0.317222
20,0.316849
21,0.319688
22,0.323342
23,0.329123
24,0.32941
25,0.331076
26,0.328142
27,0.328724
28,0.324601
29,0.32401
30,0.324436
31,0.32184
32,0.323325
33,0.322066
34,0.322127
35,0.32329
36,0.322413
37,0.322465
38,0.323594
39,0.325191
40,0.323872
41,0.324792
42,0.324601
43,0.322266
44,0.322318
45,0.309844
46,0.308594
47,0.308481
48,0.30572
49,0.305738
50,0.305295
51,0.302778
52,0.301024
53,0.300043
54,0.300833
55,0.298464
56,0.297951
57,0.298594
58,0.297517
59,0.297804
60,0.297465
61,0.298793
62,0.297891
63,0.297118
64,0.296085
65,0.296215
66,0.295668
67,0.29533
68,0.29441
69,0.294549
70,0.289175
71,0.289045
72,0.290556
73,0.2923
74,0.294227
75,0.294288
76,0.295929
77,0.295764
78,0.296033
79,0.294583
80,0.295894
81,0.297049
82,0.298845
83,0.30178
84,0.303342
85,0.30822
86,0.315286
87,0.317691
88,0.32638
89,0.335174
90,0.336372
91,0.344427
92,0.350642
93,0.354019
94,0.360538
95,0.370625
96,0.373342
97,0.38066
98,0.385495
99,0.390911
100,0.396354
101,0.401293
102,0.404019
103,0.407604
104,0.409714
105,0.41026
106,0.409028
107,0.40908
108,0.407613
109,0.407474
110,0.406016
111,0.40572
112,0.403299
113,0.401641
114,0.399861
115,0.398082
116,0.39704
117,0.393238
118,0.39237
119,0.391623
120,0.381962
121,0.384974
122,0.39026
123,0.392769
124,0.399019
125,0.402726
126,0.4052
127,0.409661
128,0.412969
129,0.415729
130,0.417135
131,0.422352
132,0.424262
133,0.426563
134,0.426398
135,0.428924
136,0.431823
137,0.432222
138,0.431936
139,0.434332
140,0.431884
141,0.433299
142,0.430868
143,0.431354
144,0.430087
145,0.418359
146,0.419036
147,0.419792
148,0.41697
149,0.417387
150,0.41546
151,0.412509
152,0.410373
153,0.408663
154,0.406111
155,0.402266
156,0.399635
157,0.396102
158,0.391589
159,0.390174
160,0.387248
161,0.386493
162,0.385477
163,0.382682
164,0.381528
165,0.380148
166,0.37822
167,0.375816
168,0.376415
169,0.375104
170,0.369479
171,0.369427
172,0.36829
173,0.366181
174,0.365955
175,0.36421
176,0.363993
177,0.362214
178,0.36296
179,0.362804
180,0.361519
181,0.361415
182,0.359193
183,0.359366
184,0.357804
185,0.358377
186,0.356641
187,0.356328
188,0.355226
189,0.354427
190,0.353568
191,0.354149
192,0.354167
193,0.352951
194,0.352066
195,0.348889
196,0.348429
197,0.348958
198,0.348854
199,0.348299
200,0.348672
201,0.348316
202,0.348681
203,0.348576
204,0.348542
205,0.347752
206,0.347292
207,0.347109
208,0.34671
209,0.347144
210,0.347222
211,0.34796
212,0.348342
213,0.347743
214,0.347778
215,0.347578
216,0.348168
217,0.347413
218,0.34737
219,0.347326
220,0.347778
221,0.34763
222,0.347439
223,0.347769
224,0.347196
225,0.347214
226,0.346866
227,0.347231
228,0.347127
229,0.346684
230,0.34671
231,0.346519
232,0.346328
233,0.346684
234,0.34678
235,0.347266
236,0.347604
237,0.347196
238,0.347075
239,0.345964
240,0.345807
241,0.34553
242,0.345842
243,0.345226
244,0.345547
245,0.34533
246,0.345634
247,0.345712
248,0.34559
249,0.346319
250,0.34697
251,0.347474
252,0.347101
253,0.347161
254,0.347179
255,0.346944
256,0.34737
257,0.347474
258,0.347413
259,0.34724
260,0.34724
261,0.347431
262,0.34671
263,0.346649
264,0.345677
265,0.345608
266,0.345052
267,0.344957
268,0.344844
269,0.344444
270,0.340417
271,0.340148
272,0.340668
273,0.340851
274,0.340503
275,0.339731
276,0.339401
277,0.338594
278,0.338264
279,0.337847
280,0.33803
281,0.339245
282,0.339826
283,0.341372
284,0.342257
285,0.342144
286,0.343134
287,0.344236
288,0.344288
289,0.344297
290,0.343976
291,0.343559
292,0.343264
293,0.342075
294,0.34151
295,0.337231
296,0.336458
297,0.336215
298,0.335017
299,0.333828
300,0.33395
301,0.33342
302,0.333255
303,0.332839
304,0.332943
305,0.333333
306,0.333498
307,0.333733
308,0.333984
309,0.333672
310,0.333915
311,0.334783
312,0.334705
313,0.333811
314,0.334792
315,0.334922
316,0.335095
317,0.335226
318,0.335078
319,0.33474
320,0.33783
321,0.338177
322,0.33822
323,0.338238
324,0.338507
325,0.338767
326,0.339175
327,0.33954
328,0.339592
329,0.339523
330,0.339731
331,0.339905
332,0.340304
333,0.340347
334,0.340712
335,0.340642
336,0.340833
337,0.340851
338,0.340495
339,0.340477
340,0.340833
341,0.341189
342,0.341458
343,0.34322
344,0.34553
345,0.348672
346,0.351267
347,0.353455
348,0.354774
349,0.357708
350,0.359549
351,0.360608
352,0.36316
353,0.364931
354,0.36612
355,0.367457
356,0.369809
357,0.370165
358,0.372049
359,0.373533
360,0.374384
361,0.37559
362,0.376215
363,0.376675
364,0.376927
365,0.376467
366,0.375286
367,0.375321
368,0.373906
369,0.373108
370,0.365964
371,0.365851
372,0.366207
373,0.365347
374,0.364427
375,0.363932
376,0.363646
377,0.363533
378,0.362266
379,0.36125
380,0.360347
381,0.359601
382,0.35875
383,0.358707
384,0.358212
385,0.358368
386,0.360443
387,0.360391
388,0.36276
389,0.365182
390,0.366016
391,0.370512
392,0.374566
393,0.375391
394,0.379505
395,0.376823
396,0.378481
397,0.383134
398,0.385165
399,0.385608
400,0.387031
401,0.388976
402,0.389774
403,0.392873
404,0.394332
405,0.394688
406,0.397101
407,0.399167
408,0.400425
409,0.404358
410,0.407075
411,0.408863
412,0.412448
413,0.416224
414,0.417726
415,0.422257
416,0.424193
417,0.42638
418,0.429106
419,0.431432
420,0.431979
421,0.436736
422,0.440425
423,0.440747
424,0.44822
425,0.453212
426,0.455148
427,0.460651
428,0.465677
429,0.468628
430,0.474314
431,0.478863
432,0.482865
433,0.489167
434,0.49434
435,0.496502
436,0.500686
437,0.506606
438,0.508281
439,0.513203
440,0.516901
441,0.519905
442,0.523811
443,0.525634
444,0.527049
445,0.536858
446,0.539002
447,0.539991
448,0.543533
449,0.546085
450,0.546806
451,0.550139
452,0.551832
453,0.551901
454,0.55454
455,0.556406
456,0.557986
457,0.559323
458,0.563142
459,0.564097
460,0.565885
461,0.569262
462,0.569557
463,0.571033
464,0.573637
465,0.576128
466,0.577821
467,0.578177
468,0.579705
469,0.580191
470,0.595286
471,0.595877
472,0.596849
473,0.597335
474,0.596953
475,0.596484
476,0.596918
477,0.597856
478,0.598837
479,0.600252
480,0.599479
481,0.600738
482,0.600104
483,0.599861
484,0.600755
485,0.600894
