framenum,queue density
2,0.260933
6,0.256051
10,0.253343
14,0.249506
18,0.246085
22,0.245415
26,0.246356
30,0.25127
34,0.252708
38,0.260248
42,0.269457
46,0.274006
50,0.283842
54,0.292942
58,0.29579
62,0.302339
66,0.309404
70,0.310858
74,0.317391
78,0.316532
82,0.319926
86,0.324311
90,0.328986
94,0.330283
98,0.330942
102,0.329331
106,0.329386
110,0.325687
114,0.325028
118,0.324699
122,0.322238
126,0.322936
130,0.322124
134,0.321721
138,0.322994
142,0.323331
146,0.322301
150,0.324146
154,0.32564
158,0.324538
162,0.326051
166,0.325777
170,0.323273
174,0.322136
178,0.310047
182,0.309894
186,0.308483
190,0.307406
194,0.306026
198,0.305117
202,0.304721
206,0.302648
210,0.302096
214,0.30141
218,0.299972
222,0.29978
226,0.299517
230,0.29965
234,0.299713
238,0.29978
242,0.299427
246,0.299823
250,0.298561
254,0.297934
258,0.297766
262,0.29699
266,0.296845
270,0.296006
274,0.296206
278,0.290939
282,0.291496
286,0.292797
290,0.294309
294,0.295986
298,0.296453
302,0.298204
306,0.297793
310,0.297883
314,0.296073
318,0.29757
322,0.298882
326,0.300599
330,0.30351
334,0.304898
338,0.30978
342,0.316129
346,0.31886
350,0.327219
354,0.335401
358,0.337513
362,0.344955
366,0.350712
370,0.353502
374,0.361135
378,0.370345
382,0.373041
386,0.379926
390,0.384965
394,0.390773
398,0.395648
402,0.400656
406,0.403254
410,0.407894
414,0.409791
418,0.410214
422,0.40896
426,0.409262
430,0.408509
434,0.40769
438,0.405425
442,0.406738
446,0.40347
450,0.402137
454,0.400668
458,0.398846
462,0.398019
466,0.395087
470,0.393136
474,0.392219
478,0.383394
482,0.386611
486,0.391212
490,0.393473
494,0.399237
498,0.403595
502,0.406091
506,0.410574
510,0.414011
514,0.41572
518,0.418161
522,0.422574
526,0.423663
530,0.426461
534,0.427539
538,0.429102
542,0.431943
546,0.433264
550,0.432794
554,0.433989
558,0.432112
562,0.433287
566,0.431148
570,0.431163
574,0.430223
578,0.419874
582,0.420371
586,0.421065
590,0.419341
594,0.418859
598,0.417083
602,0.414305
606,0.412005
610,0.410288
614,0.408129
618,0.403599
622,0.400613
626,0.397603
630,0.393716
634,0.392748
638,0.389715
642,0.388531
646,0.387477
650,0.385624
654,0.383414
658,0.381791
662,0.380071
666,0.378288
670,0.377916
674,0.377292
678,0.370156
682,0.370505
686,0.369443
690,0.36717
694,0.366724
698,0.364705
702,0.364655
706,0.363949
710,0.364028
714,0.363632
718,0.362515
722,0.362002
726,0.360912
730,0.360238
734,0.360414
738,0.360097
742,0.359823
746,0.358365
750,0.357095
754,0.356982
758,0.35648
762,0.355927
766,0.355657
770,0.354458
774,0.353843
778,0.350418
782,0.350457
786,0.350857
790,0.350488
794,0.350159
798,0.350147
802,0.349955
806,0.350167
810,0.350151
814,0.350237
818,0.349567
822,0.349399
826,0.349332
830,0.349003
834,0.349297
838,0.349258
842,0.349818
846,0.349634
850,0.34965
854,0.349399
858,0.349458
862,0.349979
866,0.349583
870,0.349634
874,0.34961
878,0.349877
882,0.350147
886,0.350194
890,0.350598
894,0.35021
898,0.350398
902,0.349873
906,0.350335
910,0.350096
914,0.349947
918,0.349861
922,0.349998
926,0.349513
930,0.34994
934,0.349587
938,0.349947
942,0.350077
946,0.349783
950,0.349481
954,0.348356
958,0.348208
962,0.347702
966,0.348321
970,0.347753
974,0.348098
978,0.346856
982,0.347373
986,0.34751
990,0.347588
994,0.348325
998,0.349168
1002,0.349219
1006,0.34916
1010,0.349148
1014,0.34916
1018,0.348944
1022,0.349469
1026,0.349846
1030,0.349783
1034,0.349501
1038,0.349654
1042,0.349544
1046,0.348944
1050,0.348819
1054,0.348086
1058,0.34778
1062,0.347353
1066,0.34731
1070,0.347134
1074,0.346762
1078,0.342659
1082,0.342302
1086,0.34269
