framenum,queue density
1,0.260933
4,0.249506
7,0.246356
10,0.260248
13,0.283842
16,0.302339
19,0.317391
22,0.324311
25,0.330942
28,0.325687
31,0.322238
34,0.321721
37,0.322301
40,0.324538
43,0.323273
46,0.309894
49,0.306026
52,0.302648
55,0.299972
58,0.29965
61,0.299427
64,0.297934
67,0.296845
70,0.290939
73,0.294309
76,0.298204
79,0.296073
82,0.300599
85,0.30978
88,0.327219
91,0.344955
94,0.361135
97,0.379926
100,0.395648
103,0.407894
106,0.40896
109,0.40769
112,0.40347
115,0.398846
118,0.393136
121,0.386611
124,0.399237
127,0.410574
130,0.418161
133,0.426461
136,0.431943
139,0.433989
142,0.431148
145,0.419874
148,0.419341
151,0.414305
154,0.408129
157,0.397603
160,0.389715
163,0.385624
166,0.380071
169,0.377292
172,0.369443
175,0.364705
178,0.364028
181,0.362002
184,0.360414
187,0.358365
190,0.35648
193,0.354458
196,0.350457
199,0.350159
202,0.350167
205,0.349567
208,0.349003
211,0.349818
214,0.349399
217,0.349583
220,0.349877
223,0.350598
226,0.349873
229,0.349947
232,0.349513
235,0.349947
238,0.349481
241,0.347702
244,0.348098
247,0.34751
250,0.349168
253,0.349148
256,0.349469
259,0.349501
262,0.348944
265,0.34778
268,0.347134
271,0.342302
274,0.342435
277,0.340903
280,0.340354
283,0.343446
286,0.34512
289,0.34664
292,0.345135
295,0.339849
298,0.337976
301,0.336232
304,0.335926
307,0.336628
310,0.336976
313,0.336843
316,0.337929
319,0.337458
322,0.340644
325,0.341177
328,0.34162
331,0.34171
334,0.342361
337,0.342666
340,0.34296
343,0.345359
346,0.352659
349,0.359686
352,0.364776
355,0.369647
358,0.373981
361,0.377406
364,0.378503
367,0.37714
370,0.368601
373,0.368573
376,0.366653
379,0.363973
382,0.361845
385,0.361284
388,0.36556
391,0.37259
394,0.381062
397,0.38428
400,0.38968
403,0.394903
406,0.398626
409,0.406264
412,0.412941
415,0.422883
418,0.430019
421,0.437966
424,0.448245
427,0.461569
430,0.475285
433,0.489972
436,0.502179
439,0.514734
442,0.525017
445,0.538541
448,0.544885
451,0.552143
454,0.556018
457,0.560991
460,0.567136
463,0.572842
466,0.5789
469,0.58122
472,0.596812
475,0.5976
478,0.599779
481,0.602342
484,0.602216
487,0.60215
490,0.602824
493,0.6034
496,0.602585
499,0.603271
502,0.602487
505,0.602781
508,0.600586
511,0.599708
514,0.60282
517,0.614408
520,0.644637
523,0.656808
526,0.673886
529,0.682782
532,0.689502
535,0.691344
538,0.692175
541,0.693531
544,0.695835
547,0.708716
550,0.706537
553,0.70591
556,0.702231
559,0.699895
562,0.699723
565,0.700232
568,0.700534
571,0.69558
574,0.695467
577,0.694256
580,0.693523
583,0.692387
586,0.691971
589,0.693166
592,0.693268
595,0.717373
598,0.730818
601,0.736206
604,0.738463
607,0.742974
610,0.756293
613,0.760181
616,0.763625
619,0.763594
622,0.78347
625,0.783431
628,0.784093
631,0.790351
634,0.798059
637,0.801339
640,0.805211
643,0.806387
646,0.818147
649,0.817351
652,0.817877
655,0.825212
658,0.825522
661,0.823065
664,0.824099
667,0.821568
670,0.820443
673,0.819366
676,0.818409
679,0.818758
682,0.817669
685,0.815647
688,0.812763
691,0.809091
694,0.810078
697,0.813127
700,0.811125
703,0.812543
