framenum,queue density
1,0.260933
2,0.260933
3,0.260933
4,0.260933
5,0.260933
6,0.260933
7,0.246356
8,0.246356
9,0.246356
10,0.246356
11,0.246356
12,0.246356
13,0.283842
14,0.283842
15,0.283842
16,0.283842
17,0.283842
18,0.283842
19,0.317391
20,0.317391
21,0.317391
22,0.317391
23,0.317391
24,0.317391
25,0.330942
26,0.330942
27,0.330942
28,0.330942
29,0.330942
30,0.330942
31,0.322238
32,0.322238
33,0.322238
34,0.322238
35,0.322238
36,0.322238
37,0.322301
38,0.322301
39,0.322301
40,0.322301
41,0.322301
42,0.322301
43,0.323273
44,0.323273
45,0.323273
46,0.323273
47,0.323273
48,0.323273
49,0.306026
50,0.306026
51,0.306026
52,0.306026
53,0.306026
54,0.306026
55,0.299972
56,0.299972
57,0.299972
58,0.299972
59,0.299972
60,0.299972
61,0.299427
62,0.299427
63,0.299427
64,0.299427
65,0.299427
66,0.299427
67,0.296845
68,0.296845
69,0.296845
70,0.296845
71,0.296845
72,0.296845
73,0.294309
74,0.294309
75,0.294309
76,0.294309
77,0.294309
78,0.294309
79,0.296073
80,0.296073
81,0.296073
82,0.296073
83,0.296073
84,0.296073
85,0.30978
86,0.30978
87,0.30978
88,0.30978
89,0.30978
90,0.30978
91,0.344955
92,0.344955
93,0.344955
94,0.344955
95,0.344955
96,0.344955
97,0.379926
98,0.379926
99,0.379926
100,0.379926
101,0.379926
102,0.379926
103,0.407894
104,0.407894
105,0.407894
106,0.407894
107,0.407894
108,0.407894
109,0.40769
110,0.40769
111,0.40769
112,0.40769
113,0.40769
114,0.40769
115,0.398846
116,0.398846
117,0.398846
118,0.398846
119,0.398846
120,0.398846
121,0.386611
122,0.386611
123,0.386611
124,0.386611
125,0.386611
126,0.386611
127,0.410574
128,0.410574
129,0.410574
130,0.410574
131,0.410574
132,0.410574
133,0.426461
134,0.426461
135,0.426461
136,0.426461
137,0.426461
138,0.426461
139,0.433989
140,0.433989
141,0.433989
142,0.433989
143,0.433989
144,0.433989
145,0.419874
146,0.419874
147,0.419874
148,0.419874
149,0.419874
150,0.419874
151,0.414305
152,0.414305
153,0.414305
154,0.414305
155,0.414305
156,0.414305
157,0.397603
158,0.397603
159,0.397603
160,0.397603
161,0.397603
162,0.397603
163,0.385624
164,0.385624
165,0.385624
