framenum,queue density
1,0.241211
2,0.236328
3,0.234375
4,0.22998
5,0.225586
6,0.226562
7,0.223877
8,0.229492
9,0.22876
10,0.236084
11,0.249023
12,0.25293
13,0.257568
14,0.269775
15,0.271973
16,0.278809
17,0.281738
18,0.287354
19,0.293213
20,0.295166
21,0.29834
22,0.301758
23,0.30957
24,0.312988
25,0.311279
26,0.30835
27,0.309814
28,0.306396
29,0.304199
30,0.304199
31,0.300293
32,0.303467
33,0.303467
34,0.300537
35,0.304443
36,0.302979
37,0.298828
38,0.305664
39,0.30542
40,0.302246
41,0.311768
42,0.311768
43,0.306885
44,0.305176
45,0.289551
46,0.290527
47,0.290527
48,0.286865
49,0.288818
50,0.288086
51,0.287109
52,0.284668
53,0.290283
54,0.286621
55,0.283936
56,0.283691
57,0.282959
58,0.287842
59,0.287354
60,0.284912
61,0.282715
62,0.283691
63,0.281738
64,0.282715
65,0.282959
66,0.280518
67,0.281494
68,0.28125
69,0.283203
70,0.271484
71,0.272217
72,0.272705
73,0.276855
74,0.277344
75,0.278809
76,0.279541
77,0.27832
78,0.28125
79,0.278809
80,0.277588
81,0.282227
82,0.283447
83,0.286377
84,0.289062
85,0.293701
86,0.298828
87,0.297363
88,0.307861
89,0.317627
90,0.320312
91,0.324707
92,0.335449
93,0.336914
94,0.346191
95,0.360107
96,0.363281
97,0.367188
98,0.374512
99,0.378174
100,0.388184
101,0.393066
102,0.392334
103,0.396729
104,0.398193
105,0.398926
106,0.401123
107,0.399902
108,0.398682
109,0.396484
110,0.394531
111,0.391602
112,0.386475
113,0.38916
114,0.385498
115,0.381104
116,0.386475
117,0.37793
118,0.379639
119,0.373535
120,0.369629
121,0.370361
122,0.376221
123,0.380615
124,0.387207
125,0.39624
126,0.394287
127,0.399658
128,0.401367
129,0.403809
130,0.403809
131,0.408203
132,0.41626
133,0.412109
134,0.411133
135,0.411865
136,0.418701
137,0.419678
138,0.418701
139,0.420898
140,0.416016
141,0.415527
142,0.418457
143,0.41626
144,0.415527
145,0.403076
146,0.410889
147,0.414307
148,0.408936
149,0.410156
150,0.406738
151,0.401367
152,0.39502
153,0.395508
154,0.393555
155,0.38916
156,0.388428
157,0.383057
158,0.379395
159,0.377686
160,0.373291
161,0.373535
162,0.371582
163,0.369873
164,0.368408
165,0.365723
166,0.361328
167,0.361572
168,0.362549
169,0.360596
170,0.364258
171,0.363281
172,0.36499
173,0.36377
174,0.359863
175,0.358154
176,0.355469
177,0.353516
178,0.356445
179,0.352051
180,0.351318
181,0.349365
182,0.351807
183,0.350342
184,0.352051
185,0.349854
186,0.349121
187,0.347412
188,0.345215
189,0.345947
190,0.345947
191,0.344482
192,0.344482
193,0.344971
194,0.34375
195,0.344971
196,0.343018
197,0.343262
198,0.343506
199,0.34375
200,0.343262
201,0.342773
202,0.344238
203,0.345459
204,0.345459
205,0.344238
206,0.342285
207,0.3396
208,0.338867
209,0.340332
210,0.3396
211,0.339111
212,0.339111
213,0.338135
214,0.337402
215,0.337891
216,0.339355
217,0.337646
218,0.338623
219,0.338623
220,0.343018
221,0.342285
222,0.341797
223,0.341553
224,0.342285
225,0.342773
226,0.342285
227,0.342285
228,0.341309
229,0.341064
230,0.340088
231,0.339111
232,0.338135
233,0.337402
234,0.339111
235,0.34082
236,0.341309
237,0.340576
238,0.340576
239,0.339355
240,0.3396
241,0.338623
242,0.339844
243,0.336426
244,0.336182
245,0.338379
246,0.338867
247,0.339844
248,0.339844
249,0.340088
250,0.340088
251,0.339844
252,0.339844
253,0.338867
254,0.338379
255,0.336914
256,0.338623
257,0.338867
258,0.339111
259,0.3396
260,0.3396
261,0.338379
262,0.339111
263,0.338623
264,0.337646
265,0.337646
266,0.337891
267,0.337891
268,0.338379
269,0.338867
270,0.335938
271,0.334717
272,0.333984
273,0.333252
274,0.333252
275,0.331787
276,0.330566
277,0.332031
278,0.332275
279,0.331055
280,0.331299
281,0.332275
282,0.331787
283,0.332764
284,0.335449
285,0.334473
286,0.33252
287,0.334229
288,0.335449
289,0.337646
290,0.338135
291,0.337158
292,0.336182
293,0.335938
294,0.335693
295,0.333252
296,0.335693
297,0.334229
298,0.333984
299,0.332764
300,0.332764
301,0.331299
302,0.331543
303,0.330322
304,0.32959
305,0.327637
306,0.327393
307,0.328125
308,0.328369
309,0.327881
310,0.327881
311,0.328125
312,0.328125
313,0.327148
314,0.328613
315,0.328369
316,0.329102
317,0.328125
318,0.328857
319,0.327881
320,0.333496
321,0.334961
322,0.333984
323,0.33374
324,0.334473
325,0.334961
326,0.334229
327,0.333252
328,0.331055
329,0.331787
330,0.331543
331,0.331543
332,0.333252
