framenum,queue density
1,0.260933
5,0.246085
9,0.252708
13,0.283842
17,0.309404
21,0.319926
25,0.330942
29,0.325028
33,0.322124
37,0.322301
41,0.326051
45,0.310047
49,0.306026
53,0.302096
57,0.299517
61,0.299427
65,0.297766
69,0.296206
73,0.294309
77,0.297793
81,0.298882
85,0.30978
89,0.335401
93,0.353502
97,0.379926
101,0.400656
105,0.410214
109,0.40769
113,0.402137
117,0.395087
121,0.386611
125,0.403595
129,0.41572
133,0.426461
137,0.433264
141,0.433287
145,0.419874
149,0.418859
153,0.410288
157,0.397603
161,0.388531
165,0.381791
169,0.377292
173,0.36717
177,0.363949
181,0.362002
185,0.360097
189,0.356982
193,0.354458
197,0.350857
201,0.349955
205,0.349567
209,0.349297
213,0.34965
217,0.349583
221,0.350147
225,0.350398
229,0.349947
233,0.34994
237,0.349783
241,0.347702
245,0.346856
249,0.348325
253,0.349148
257,0.349846
261,0.349544
265,0.34778
269,0.346762
273,0.342643
277,0.340903
281,0.341291
285,0.344575
289,0.34664
293,0.344077
297,0.338885
301,0.336232
305,0.336056
309,0.336506
313,0.336843
317,0.337897
321,0.341052
325,0.341177
329,0.341593
333,0.342216
337,0.342666
341,0.343203
345,0.350089
349,0.359686
353,0.366802
357,0.372519
361,0.377406
365,0.377947
369,0.375043
373,0.368573
377,0.366144
381,0.362468
385,0.361284
389,0.367421
393,0.377618
397,0.38428
401,0.39149
405,0.396961
409,0.406264
413,0.416958
417,0.427049
421,0.437966
425,0.453927
429,0.469802
433,0.489972
437,0.507571
441,0.521663
445,0.538541
449,0.547918
453,0.553628
457,0.560991
461,0.569926
465,0.576937
469,0.58122
473,0.597416
477,0.598603
481,0.602342
485,0.602667
489,0.602381
493,0.6034
497,0.603796
501,0.602205
505,0.602781
509,0.599795
513,0.600719
517,0.614408
521,0.646502
525,0.670548
529,0.682782
533,0.688868
537,0.691199
541,0.693531
545,0.70979
549,0.706396
553,0.70591
557,0.701694
561,0.700079
565,0.700232
569,0.701259
573,0.695071
577,0.694256
581,0.693245
585,0.691826
589,0.693166
593,0.696854
597,0.724117
601,0.736206
605,0.739078
609,0.750396
613,0.760181
617,0.764699
621,0.784124
625,0.783431
629,0.784842
633,0.796155
637,0.801339
641,0.805329
645,0.817986
649,0.817351
653,0.817253
657,0.824515
661,0.823065
665,0.821936
669,0.820682
673,0.819366
677,0.818449
681,0.817877
685,0.815647
689,0.812441
693,0.809749
697,0.813127
701,0.810811
705,0.816681
709,0.82205
713,0.826533
717,0.828136
721,0.837795
725,0.838638
729,0.838807
733,0.839198
737,0.838889
741,0.838665
745,0.8399
749,0.839422
753,0.839982
757,0.840601
761,0.841052
765,0.841871
769,0.84229
773,0.846338
777,0.846511
781,0.846307
785,0.845331
789,0.84566
793,0.844908
797,0.842396
801,0.841808
805,0.841887
809,0.840797
813,0.84095
817,0.843678
821,0.845323
825,0.846378
829,0.847643
833,0.848541
837,0.84876
841,0.849277
845,0.850398
849,0.85099
853,0.850919
857,0.850892
861,0.850014
865,0.850089
869,0.850669
873,0.848791
877,0.848513
881,0.84916
885,0.849724
889,0.850265
893,0.850265
897,0.850759
901,0.850821
905,0.851809
909,0.852232
913,0.852314
917,0.852569
921,0.85146
925,0.851895
929,0.851746
933,0.850559
937,0.850045
941,0.849258
945,0.848748
949,0.848968
953,0.848878
957,0.849959
961,0.850006
965,0.850226
969,0.850527
973,0.849755
977,0.848737
981,0.846954
985,0.848368
989,0.84914
993,0.848893
997,0.848682
1001,0.849426
1005,0.850077
1009,0.849591
1013,0.846848
1017,0.847244
1021,0.848055
1025,0.846879
1029,0.846464
1033,0.846773
1037,0.848255
1041,0.847855
1045,0.848106
1049,0.847694
1053,0.848168
1057,0.847871
1061,0.846742
1065,0.846812
1069,0.846989
1073,0.847381
1077,0.847588
1081,0.847506
1085,0.84733
1089,0.846213
1093,0.846491
1097,0.84664
1101,0.846436
1105,0.846189
1109,0.846009
1113,0.846479
1117,0.846523
1121,0.847224
1125,0.847208
1129,0.845606
1133,0.845225
1137,0.845751
1141,0.845801
1145,0.845351
1149,0.845331
1153,0.847055
1157,0.846691
1161,0.845316
1165,0.844489
1169,0.845562
1173,0.846664
1177,0.847773
1181,0.847291
1185,0.847314
1189,0.846981
1193,0.846867
1197,0.847369
1201,0.846577
1205,0.846479
1209,0.84657
1213,0.848537
1217,0.847961
1221,0.848157
1225,0.847592
1229,0.847682
1233,0.847197
1237,0.844955
1241,0.844896
1245,0.844857
1249,0.84588
1253,0.845703
1257,0.846268
1261,0.846217
1265,0.845903
1269,0.845637
1273,0.846041
1277,0.846691
1281,0.84724
1285,0.847287
1289,0.845684
1293,0.845833
1297,0.845045
1301,0.846342
1305,0.846867
1309,0.84662
1313,0.84624
1317,0.845531
1321,0.846064
1325,0.846573
1329,0.846511
1333,0.846495
1337,0.846852
1341,0.847537
1345,0.847032
1349,0.846577
1353,0.846456
1357,0.846358
1361,0.846276
1365,0.845684
1369,0.84461
1373,0.846037
1377,0.845731
1381,0.846452
1385,0.846762
1389,0.846566
1393,0.847357
1397,0.848384
1401,0.84914
1405,0.84974
1409,0.850155
1413,0.850249
1417,0.850445
1421,0.850857
1425,0.85186
1429,0.852146
1433,0.850915
1437,0.853815
1441,0.853525
1445,0.854548
1449,0.856672
1453,0.856668
1457,0.856304
1461,0.858584
1465,0.857867
1469,0.858859
1473,0.860873
1477,0.862754
1481,0.863001
1485,0.86572
1489,0.868707
1493,0.873284
1497,0.880537
1501,0.871928
1505,0.867594
1509,0.866626
1513,0.871599
1517,0.874624
1521,0.874847
1525,0.873856
1529,0.879032
1533,0.879499
1537,0.878006
1541,0.873997
1545,0.873918
1549,0.876767
1553,0.878092
1557,0.882595
1561,0.882516
1565,0.875968
1569,0.876211
1573,0.876771
1577,0.877935
1581,0.879448
1585,0.884276
1589,0.88399
1593,0.878413
1597,0.86601
1601,0.857562
1605,0.858459
1609,0.858851
1613,0.862103
1617,0.867786
1621,0.860787
1625,0.867621
1629,0.867331
1633,0.863177
1637,0.86411
1641,0.868444
1645,0.866379
1649,0.863201
1653,0.859466
1657,0.852169
1661,0.852087
1665,0.854427
1669,0.85918
1673,0.863209
1677,0.85949
1681,0.850061
1685,0.837184
1689,0.837709
1693,0.84307
1697,0.836071
1701,0.831302
1705,0.832787
1709,0.844904
1713,0.846091
1717,0.834241
1721,0.835421
1725,0.841847
1729,0.855986
1733,0.845782
1737,0.8013
1741,0.780362
1745,0.761737
1749,0.71633
1753,0.668181
1757,0.64624
1761,0.620133
1765,0.589896
1769,0.617974
1773,0.654492
1777,0.689287
1781,0.706126
1785,0.684984
1789,0.684173
1793,0.661354
1797,0.632195
1801,0.624075
1805,0.628754
1809,0.632587
1813,0.623789
1817,0.619588
1821,0.600089
1825,0.578539
1829,0.551437
1833,0.540508
1837,0.518316
1841,0.526691
1845,0.52905
1849,0.541108
1853,0.538572
1857,0.510165
1861,0.491222
1865,0.479646
1869,0.449962
1873,0.459014
1877,0.479619
1881,0.502743
1885,0.494655
1889,0.502528
1893,0.531275
1897,0.539046
1901,0.530096
1905,0.581698
1909,0.671931
1913,0.696948
1917,0.727424
1921,0.7533
1925,0.719932
1929,0.672946
1933,0.544333
1937,0.470543
1941,0.423847
1945,0.420007
1949,0.391067
1953,0.363538
1957,0.349881
1961,0.335123
1965,0.321521
1969,0.303514
1973,0.272478
1977,0.229395
1981,0.21144
1985,0.199139
1989,0.174862
1993,0.174909
1997,0.173291
2001,0.167205
2005,0.195263
2009,0.236159
2013,0.308225
2017,0.403779
2021,0.471366
2025,0.544752
2029,0.652894
2033,0.682602
2037,0.701016
2041,0.697183
2045,0.564777
2049,0.476613
2053,0.410856
2057,0.36808
2061,0.298318
2065,0.278971
2069,0.271933
2073,0.273497
2077,0.247053
2081,0.209198
2085,0.179768
2089,0.168859
2093,0.168482
2097,0.16927
2101,0.174235
2105,0.19203
2109,0.220978
2113,0.292322
2117,0.389919
2121,0.542483
2125,0.678816
2129,0.796613
2133,0.85068
2137,0.891612
2141,0.893583
2145,0.885961
2149,0.891008
2153,0.855927
2157,0.738075
2161,0.647243
2165,0.650774
2169,0.646059
2173,0.638093
2177,0.571431
2181,0.445706
2185,0.363256
2189,0.299529
2193,0.267438
2197,0.235826
2201,0.216624
2205,0.197148
2209,0.19105
2213,0.171994
2217,0.165387
2221,0.163118
2225,0.162573
2229,0.163623
2233,0.162941
2237,0.16233
2241,0.165155
2245,0.165222
2249,0.165951
2253,0.167836
2257,0.166801
2261,0.168067
2265,0.169634
2269,0.183758
2273,0.210425
2277,0.247774
2281,0.280453
2285,0.296249
2289,0.303291
2293,0.300963
2297,0.279528
2301,0.274202
2305,0.288078
2309,0.288553
2313,0.276083
2317,0.270801
2321,0.268508
2325,0.252614
2329,0.238044
2333,0.21635
2337,0.191137
2341,0.183534
2345,0.179208
2349,0.175375
2353,0.188429
2357,0.204429
2361,0.197171
2365,0.184545
2369,0.176896
2373,0.16724
2377,0.166445
2381,0.162107
2385,0.174713
2389,0.224234
2393,0.298087
2397,0.395252
2401,0.436783
2405,0.436767
2409,0.431242
2413,0.360293
2417,0.297824
2421,0.247966
2425,0.20294
2429,0.178287
2433,0.16012
2437,0.191148
2441,0.225598
2445,0.242891
2449,0.226527
2453,0.20109
2457,0.187578
2461,0.194656
2465,0.190874
2469,0.185823
2473,0.173428
2477,0.165853
2481,0.176641
2485,0.193331
2489,0.185521
2493,0.179157
2497,0.174043
2501,0.168772
2505,0.169274
2509,0.173675
2513,0.196819
2517,0.243832
2521,0.285461
2525,0.330561
2529,0.356841
2533,0.353898
2537,0.329813
2541,0.300446
2545,0.275284
2549,0.236418
2553,0.235653
2557,0.230692
2561,0.194605
2565,0.171139
2569,0.153717
2573,0.145809
2577,0.144555
2581,0.144613
2585,0.144586
2589,0.143975
2593,0.144284
2597,0.144386
2601,0.144135
2605,0.144527
2609,0.144539
2613,0.143355
2617,0.143206
2621,0.143242
2625,0.145099
2629,0.177872
2633,0.206929
2637,0.22039
2641,0.240764
2645,0.283729
2649,0.360124
2653,0.437939
2657,0.486527
2661,0.518065
2665,0.517117
2669,0.500145
2673,0.483322
2677,0.449064
2681,0.417083
2685,0.389264
2689,0.365842
2693,0.380514
2697,0.378213
2701,0.345433
2705,0.315192
2709,0.284183
2713,0.274817
2717,0.275045
2721,0.265565
2725,0.249099
2729,0.245732
2733,0.25986
2737,0.253166
2741,0.267509
2745,0.276886
2749,0.278493
2753,0.280511
2757,0.27814
2761,0.271302
2765,0.270315
2769,0.26812
2773,0.267822
2777,0.263872
2781,0.260867
2785,0.257497
2789,0.250329
2793,0.247327
2797,0.2448
2801,0.242374
2805,0.239655
2809,0.241104
2813,0.23987
2817,0.240701
2821,0.240572
2825,0.240564
2829,0.239239
2833,0.237766
2837,0.237354
2841,0.238095
2845,0.238557
2849,0.238542
2853,0.239404
2857,0.238687
2861,0.237268
2865,0.238992
2869,0.24018
2873,0.240207
2877,0.238953
2881,0.246117
2885,0.259472
2889,0.266733
2893,0.266913
2897,0.262634
2901,0.257305
2905,0.254001
2909,0.25453
2913,0.252461
2917,0.252532
2921,0.251532
2925,0.252606
2929,0.252778
2933,0.257536
2937,0.252861
2941,0.253566
2945,0.25504
2949,0.264409
2953,0.280711
2957,0.299886
2961,0.41166
2965,0.472345
2969,0.55815
2973,0.619079
2977,0.681532
2981,0.697552
2985,0.757775
2989,0.810129
2993,0.843262
2997,0.848419
3001,0.863855
3005,0.871391
3009,0.87344
3013,0.874753
3017,0.874444
3021,0.874753
3025,0.875803
3029,0.879714
3033,0.882293
3037,0.890793
3041,0.890879
3045,0.890303
3049,0.890389
3053,0.888218
3057,0.889033
3061,0.889315
3065,0.888575
3069,0.879746
3073,0.877641
3077,0.875235
3081,0.873621
3085,0.873507
3089,0.874824
3093,0.875956
3097,0.874608
3101,0.873703
3105,0.873801
3109,0.872343
3113,0.871336
3117,0.870501
3121,0.869749
3125,0.86842
3129,0.870783
3133,0.871281
3137,0.869126
3141,0.866524
3145,0.864882
3149,0.86333
3153,0.860614
3157,0.859164
3161,0.858639
3165,0.858957
3169,0.859031
3173,0.858682
3177,0.858063
3181,0.858181
3185,0.854709
3189,0.855743
3193,0.852365
3197,0.851629
3201,0.850061
3205,0.850167
3209,0.848599
3213,0.849998
3217,0.848858
3221,0.848208
3225,0.848325
3229,0.847443
3233,0.84682
3237,0.84653
3241,0.846534
3245,0.845539
3249,0.844892
3253,0.845374
3257,0.845558
3261,0.847694
3265,0.847287
3269,0.84657
3273,0.845903
3277,0.846926
3281,0.84713
3285,0.847686
3289,0.851973
3293,0.851472
3297,0.851041
3301,0.850414
3305,0.850312
3309,0.849567
3313,0.849418
3317,0.8499
3321,0.850657
3325,0.850782
3329,0.852005
3333,0.852252
3337,0.853666
3341,0.853349
3345,0.852847
3349,0.851535
3353,0.851319
3357,0.852185
3361,0.854391
3365,0.853949
3369,0.854532
3373,0.854387
3377,0.854094
3381,0.85389
3385,0.85405
