framenum,queue density,dynamic density
1,0.260933,0
2,0.256051,0
3,0.253343,0
4,0.249506,0
5,0.246085,0
6,0.245415,0
7,0.246356,0
8,0.25127,0.0854756
9,0.252708,0.0809494
10,0.260248,0.0834418
11,0.269457,0.0849348
12,0.274006,0.0829402
13,0.283842,0.0863847
14,0.292942,0.0882696
15,0.29579,0.0840609
16,0.302339,0.0874506
17,0.309404,0.0880776
18,0.310858,0.0831753
19,0.317391,0.0856715
20,0.316532,0.083959
21,0.319926,0.0768308
22,0.324311,0.0794642
23,0.328986,0.0736762
24,0.330283,0.066599
25,0.330942,0.0680999
26,0.329331,0.0681626
27,0.329386,0.0624334
28,0.325687,0.0684722
29,0.325028,0.0678099
30,0.324699,0.0640988
31,0.322238,0.0670497
32,0.322936,0.0671633
33,0.322124,0.0631035
34,0.321721,0.0668302
35,0.322994,0.0666068
36,0.323331,0.0662816
37,0.322301,0.069397
38,0.324146,0.0686172
39,0.32564,0.063801
40,0.324538,0.0663169
41,0.326051,0.0656311
42,0.325777,0.0632289
43,0.323273,0.0640518
44,0.322136,0.0634758
45,0.310047,0.0632759
46,0.309894,0.0637344
47,0.308483,0.0615791
48,0.307406,0.0569707
49,0.306026,0.0575271
50,0.305117,0.0543725
51,0.304721,0.0510847
52,0.302648,0.0503519
53,0.302096,0.0492821
54,0.30141,0.0461549
55,0.299972,0.0475657
56,0.29978,0.0461353
57,0.299517,0.0441446
58,0.29965,0.0442622
59,0.299713,0.0432825
60,0.29978,0.0402416
61,0.299427,0.0403905
62,0.299823,0.0388543
63,0.298561,0.0365501
64,0.297934,0.0379922
65,0.297766,0.0361465
66,0.29699,0.0329527
67,0.296845,0.0329331
68,0.296006,0.0331643
69,0.296206,0.0311501
70,0.290939,0.0340343
71,0.291496,0.0326392
72,0.292797,0.0302801
73,0.294309,0.030625
74,0.295986,0.0303036
75,0.296453,0.0263966
76,0.298204,0.027392
77,0.297793,0.0261929
78,0.297883,0.023246
79,0.296073,0.0248958
80,0.29757,0.0264515
81,0.298882,0.0259969
82,0.300599,0.0282698
